"","orig_index","ak_covid","ak_flu","al_covid","al_flu","ar_covid","ar_flu","az_covid","az_flu","ca_covid","ca_flu","ca_RSV","co_covid","co_flu","co_RSV","ct_covid","ct_flu","ct_RSV","dc_covid","dc_flu","de_covid","de_flu","fl_covid","fl_flu","ga_covid","ga_flu","ga_RSV","hi_covid","hi_flu","ia_covid","ia_flu","id_covid","id_flu","il_covid","il_flu","in_covid","in_flu","ks_covid","ks_flu","ky_covid","ky_flu","la_covid","la_flu","ma_covid","ma_flu","md_covid","md_flu","md_RSV","me_covid","me_flu","mi_covid","mi_flu","mi_RSV","mn_covid","mn_flu","mn_RSV","mo_covid","mo_flu","ms_covid","ms_flu","mt_covid","mt_flu","nc_covid","nc_flu","nd_covid","nd_flu","ne_covid","ne_flu","nh_covid","nh_flu","nj_covid","nj_flu","nm_covid","nm_flu","nm_RSV","nv_covid","nv_flu","ny_covid","ny_flu","ny_RSV","oh_covid","oh_flu","ok_covid","ok_flu","or_covid","or_flu","or_RSV","pa_covid","pa_flu","ri_covid","ri_flu","sc_covid","sc_flu","sd_covid","sd_flu","tn_covid","tn_flu","tn_RSV","tx_covid","tx_flu","ut_covid","ut_flu","ut_RSV","va_covid","va_flu","vt_covid","vt_flu","wa_covid","wa_flu","wi_covid","wi_flu","wv_covid","wv_flu","wy_covid","wy_flu"
"21",202043,8.016576797804,0,129.029842340568,0,83.871637660327,0,69.611984000932,0,318.941336234268,0,0,74.055424530747,0,0,24.327857147056,0,0,15.9800706936,0,14.235152291912,0,265.583043921792,1.002193261536,210.747493532606,1.008366276986,0,7.171874654959,0,71.662473160977,0,33.296350562778,0,292.940515575342,1.006672183236,200.50339248604,0,54.385049942958,1.007130934908,169.20610379685,0,84.610784261718,0,40.528890131115,0,48.866557185507,0,0,0,0,93.786208009688,0,0,74.65464737172,0,0,156.42195318089,1.002706646907,82.529409675895,0,66.425266468008,0,119.437845495912,0,20.25189819678,0,42.566633365896,0,2.033253715328,0,83.46537012652,0,33.149747529411,0,0,50.091325352391,0,116.942664763326,0,0,184.358432271683,0,197.289802145528,3.004414869819,15.016437988245,0,0,191.673153110208,0,9.32764774577,0,58.69092770424,0,48.142969838064,1.002978706176,170.156069648314,0,0,693.928907095455,7.039844997633,49.301159733475,0,0,67.403307348144,0,0,0,30.175783524588,0,305.2750816746,0,28.970296985083,0,29.818401362474,0
"22",202044,10.020720264582,0,153.606953727378,2.048095135506,81.874694843095,1.996942817232,77.45558342524,0,301.00089514484,10.963600708104,0,76.056926732277,0,0,34.464463089797,0,0,10.3400454276,0.94000443435,9.151169115504,0,296.65123105956,1.002193261536,251.081950219858,4.033443508812,0,8.196428177096,0,79.737118563861,0,40.579927129578,0,299.987195515056,1.006672183236,130.98212055093,0,75.53479077228,1.007130934908,197.407118841628,1.007177659294,67.688626484565,0,57.75367105611,0,55.992928438671,0,0,5.081865643299,0,183.538603431014,0,0,96.849271649,0,0,168.454414439213,0,50.7108423388,0,47.008649725079,0,122.423792688426,0.995312213784,44.554176032916,0,33.445211369292,0,4.066507430656,0,81.37873680007,1.04332129679,44.199661256671,2.009075992548,2.115877,45.082193131551,0,116.942664763326,4.10325696318,0,178.313893508677,0,164.241254524075,2.002943246546,19.0208211687,0,0,139.951820112888,2.02829138148,6.21843256092,0,85.54948326522,0.994762278315,62.184669933776,0,176.233074876018,2.025666084162,0,726.111114711945,6.034152855114,53.4095894331,0,0,78.469523148294,0,2.07130230702,0,29.169923815812,0,335.60041915674,1.010847530692,23.975419362697,0,14.909200681237,0
"23",202045,7.014504331742,0,169.991699691795,3.072137663382,88.863997729298,1.996942817232,93.142796826488,0.98044719942,383.726299448492,1.993399782308,0,146.109352672033,0,0,50.683033319302,0,0,11.28004986195,0,14.235152291912,0,364.800852028824,2.0044083042,262.173925268874,4.033443508812,0,3.073660566411,0,93.867748018908,1.009329078821,47.863503696378,0,346.293938543346,1.006672183236,188.41273708915,2.015109232815,103.734445211376,1.007130934908,275.967098020198,1.007177659294,72.665733345156,0,58.766895928659,1.013224872549,69.227623193229,0,0,5.081865643299,0,228.919030227925,2.016906294181,0,137.20313293362,0,0,217.586953783038,1.002706646907,69.603117340505,2.982989858175,63.359484412063,1.021927720072,139.344153078564,0,41.516391497136,0,85.1332647681,0,3.049880572992,0,113.72156726074,0,57.258653092356,0,2.115877,53.096804684895,0,147.71705231535,1.025814240795,0,324.390239094644,0,227.333930910523,1.001471623273,19.0208211687,0,0,223.111611184896,0,6.21843256092,0,72.617584028535,0,54.160841179744,0,169.143240093842,3.038502613852,0,761.310398755992,13.074027380688,58.545127392125,0,0,72.43340465346,4.024076115798,1.03565115351,0,39.22851316488,0,388.164337459116,1.010847530692,31.96722462829,0,20.872881185253,0
"24",202046,19.039368795775,0,185.352393048582,3.072137663382,101.844132093088,0.998471408616,156.872075801952,2.941348874576,371.765979230316,5.980160109088,0,184.137818944206,2.001496389461,0,79.065532122335,0,0,21.62009528955,0,18.302338231008,0,416.915250126744,5.011009869936,323.683954977606,4.033443508812,0,5.122767610685,0,172.595537503948,0,40.579927129578,0,533.534267694447,0,289.16821234187,1.0075580194,131.934099650472,2.014261869816,255.82351326856,1.007177659294,95.560411956543,0,72.95200922073,0,128.274713382597,0,0,7.114612175068,0,359.009581685304,1.008458172496,0,168.47737571457,0,0,297.80333749911,1.002706646907,67.61445448509,0.994329952725,81.75417343492,0,174.180186072624,1.99063497873,51.642340208052,1.012595103576,118.578476137392,0,5.08313428832,0,202.40352533695,0,75.340332793534,1.004537996274,2.115877,89.162556674943,0,211.317436065075,2.05162848159,0,430.169667447249,0,237.348643156614,5.007354129726,42.046025517855,0,0,338.723986576248,0,13.47326945305,0,69.633302384295,0,61.1816912276,2.005957412352,216.74642446013,2.025666084162,0,799.526788755537,24.136670476338,78.06016763085,0,0,98.589912369558,3.01805492628,1.03565115351,0,50.292969961416,0,453.86923828504,2.021689165476,28.970296985083,0,32.800241614482,0
"25",202047,19.039368795775,0,166.919556988536,0,116.82120927411,1.996942817232,187.266040852396,2.941348874576,593.031550126048,0.996680272236,0,215.161033323093,0,0,86.161155921694,0,0,12.2200542963,0,19.319134464936,0,493.082460750552,3.006601565736,319.650511468794,6.050165263218,0,4.098214088548,0,217.006084026731,0,45.782481548589,0,590.914366723926,0,327.45529457134,1.0075580194,150.062450609652,2.014261869816,359.562970004632,2.014359827982,144.336043468575,0,114.494124224394,0,157.798258477281,1.018053916899,0,11.180103866359,0,362.03493610117,1.008458172496,0,218.91970517404,1.00884396379,0,300.811451271644,1.002706646907,107.38766439395,0,65.403338747936,0,190.105234248978,1.99063497873,55.692719847408,0,142.90226551008,0,10.166269965632,1.016626857664,295.25875006606,1.04332129679,113.512768188438,0,0,195.356166044733,0,324.156863701134,2.05162848159,0,521.845164166162,0,262.385417791883,0,41.04493078428,0,0,426.954486655872,1.014139208712,21.764511772,0,81.570439342665,0.994762278315,55.16381988592,1.002978706176,233.964596638334,7.089834782176,0,1044.91614397723,15.085411665726,91.412564989125,0,0,103.620009674874,2.012042379036,2.07130230702,0,78.457034068452,0,510.476540814276,0,41.95698343898,0.998975881069,24.848667994996,0
"26",202048,17.035224596324,0,183.304302952953,1.024047567753,105.838020753443,1.996942817232,233.347212027772,0,837.221002710224,1.993399782308,0,242.181260735127,1.000751100765,0,107.448027319771,0,0,16.9200744579,0,30.50389705168,0,525.152862930984,4.008794827272,304.525092910966,1.008366276986,0,5.122767610685,0,171.586205232048,2.018661350721,62.430656829978,0,619.101086482782,3.020003878239,337.530840735415,0,161.140885024476,0,375.677835100306,2.014359827982,134.38183437144,0.995423221737,114.494124224394,0,187.321803571965,0,0,13.212850398128,0,503.218487252761,2.016906294181,0,216.90201153907,0,0,266.719486958676,5.013527066348,103.41034458305,2.982989858175,66.425266468008,0,203.044335232818,3.981259406298,48.604555672272,0,97.295159454444,0,14.232777396288,0,315.08178056803,0,121.549070042753,0,0,145.264840692342,0,488.286904197378,2.05162848159,0,608.483560955926,0,303.445734412881,4.005882506453,49.05369714519,2.002193713305,0,546.623431846128,0,20.72810744079,0,73.61234630685,0,58.172756004448,0,257.259774044242,8.102671311866,0,1033.85350088158,23.130948805878,93.466781507925,0,0,134.806614696288,3.01805492628,3.10695346053,0,84.492192321108,0,429.608968299328,0,46.951862844325,0.998975881069,29.818401362474,0
"27",202049,16.033152862935,1.002071733389,249.867314218866,1.024047567753,141.783006593074,0.998471408616,311.783242652432,2.941348874576,1127.25829714696,1.993399782308,0,231.173021874988,0,0,121.639278524086,0,0,21.62009528955,0,38.638268929872,0,563.236468242888,4.008794827272,376.118742191294,0,0,6.147321132822,0,133.231642761428,0,70.754745421134,0,546.620955390639,1.006672183236,351.63660536512,0,151.06958154456,1.007130934908,392.799882364668,1.007177659294,178.180354398834,0.995423221737,130.70568027684,1.013224872549,198.520384327596,0,0,12.196477818367,0,437.668977412418,2.016906294181,0,197.73392486055,1.00884396379,0,316.854732949408,5.013527066348,139.206231731045,0,58.249849124516,0,201.053700254088,0.995312213784,42.528986600712,0,74.998351874916,0,24.39904736192,0,307.77855929189,1.04332129679,127.576298020397,0,0,146.26666713651,1.001826444168,534.448485525414,2.05162848159,0,647.773062915465,0,321.472211671878,1.001471623273,66.072324600585,0,0,649.051945668,1.014139208712,39.38340293233,0,106.43947553772,4.97380620087,52.154884662768,0,252.195605346228,3.038502613852,0,1087.15527301891,28.159439046414,83.195705589875,0,0,179.071469254614,1.006021189518,4.14260461404,0,86.50391173866,1.005859708776,365.92575663888,0,67.930352780856,0.998975881069,31.806294477944,0
"28",202050,14.029008663484,0,277.516568308935,0,124.808983568929,1.996942817232,428.456852304476,0,1423.27571245495,6.976840381324,0,210.157289443406,2.001496389461,0,129.74856183604,0,0,31.02013695285,0,46.772641811448,0,624.370671038016,5.011009869936,440.653859931418,0,0,7.171874654959,0,113.045029254218,0,58.268614435323,0,475.147496481732,0,401.006791778065,0,137.97688525992,1.007130934908,375.677835100306,1.007177659294,191.120828537133,0.995423221737,182.380016067102,0,210.737025165255,0,0,19.311088621188,0,434.643622996552,1.008458172496,0,170.49506934954,0,0,265.716786479956,1.002706646907,121.308286682065,0,45.986723109278,0,272.7164117721,0,31.390442011272,0,78.038826528348,0,41.6817053312,0,388.1139840623,1.04332129679,121.549070042753,0,0,136.24840269483,1.001826444168,622.668391218306,5.129071203975,0,673.966060295152,1.00742705384,282.414842284065,0,58.063558239675,0,0,662.23580723748,1.014139208712,33.16497146702,0,133.2980310987,0,47.139992027264,0,313.978466252086,3.038502613852,0,1119.3374806354,24.136670476338,106.819175528225,1.0271082594,0,162.975164791422,6.036118494834,7.249557429,0,101.591799631608,0,315.38352750198,1.010847530692,61.936499277401,0.998975881069,25.842614552731,0
"29",202051,16.033152862935,1.002071733389,335.887209112578,3.072137663382,110.830377796523,0,420.613245603852,0.98044719942,1876.77045495452,8.970240163632,0,156.116846243476,0,0,129.74856183604,0,0,23.5001034882,0,59.990996866048,0,753.654494802408,7.015396393008,455.779278489246,2.016721754406,0,9.220981699233,0,85.793102616024,2.018661350721,49.944525844167,0,428.840753453442,1.006672183236,354.659272617335,0,135.962623390104,2.014261869816,525.747531804812,3.021537487276,183.157461259425,2.986265041164,218.856020677467,0,228.04392942228,0,0,20.327462573196,0,382.204019144602,3.025364466677,0,133.16774566368,0,0,239.646456837683,3.008113772534,123.29694953748,2.982989858175,55.184067068571,1.021927720072,292.622719354752,0.995312213784,27.340062371916,0,59.795984498832,0,27.448927934912,0,360.98773228419,5.21658794969,112.508230192164,0,0,175.319637161373,0,785.772637309668,8.206494090447,0,667.921521532146,1.00742705384,311.457503412426,4.005882506453,42.046025517855,0,0,677.44796018844,0,38.34699750551,0,163.14087868533,1.98952455663,31.092335414576,0,359.555984534212,4.051332168324,0,1143.47415111174,29.165131188933,84.222813849275,0,0,216.294192770862,1.006021189518,3.10695346053,0,87.509771447436,0,327.513662494836,0,81.916015115822,0.998975881069,30.812347920209,0
"30",202052,8.016576797804,0,360.464325539265,1.024047567753,140.784535184458,1.996942817232,513.75604243034,0.98044719942,2109.99630683059,12.957000490412,0,122.091378562294,2.001496389461,0,125.693920180063,0,0,62.0402739057,0,55.923810926952,0,816.793105901736,7.015396393008,596.949855295496,2.016721754406,0,6.147321132822,0,71.662473160977,0,43.7014594008,0,441.927441149634,0,311.33442070882,1.0075580194,134.955492455196,0,406.90038763236,3.021537487276,187.139144898279,0.995423221737,193.525461726249,0,211.755079082154,0,0,13.212850398128,0,306.569977833354,1.008458172496,0,119.04389592628,0,0,286.773589055881,0,148.155204255535,5.965982666315,40.87708671746,0,333.43064673384,0,26.327468043288,0,58.78249163856,0,39.648451615872,0,394.37388404165,0,103.467390341575,0,0,145.264840692342,0,842.192341209741,4.10325696318,0,620.572638481938,2.014842327663,319.469272411971,1.001471623273,63.069036153705,0,0,633.83979271704,3.042430590192,37.31059207869,0,189.99943424631,1.98952455663,24.07148536672,0,366.645819316388,9.115500866338,0,1417.02294537984,27.153746903895,70.870416491,0,0,218.306235149898,10.060194610632,8.28520858251,0,92.539062252624,0,265.852139999864,0,86.910892738208,0.998975881069,17.891040933245,0
